lemma	frequency	rank	band_id
pequeño	19318.0	259	1
bajar	19272.0	260	1
familia	19192.0	261	1
hermano	19086.0	262	1
junto	18948.0	263	1
empezar	18833.0	264	1
formar	18822.0	265	1
cada	18632.0	266	1
cariño	18466.0	267	1
policía	18346.0	268	1
quien	18313.0	269	1
genial	18196.0	270	1
recordar	18161.0	271	1
usar	18153.0	272	1
segundo	17975.0	273	1
terminar	17802.0	274	1
loco	17687.0	275	1
demasiado	17543.0	276	1
lado	17518.0	277	1
amigos	17332.0	278	1
forma	17236.0	279	1
cuál	17008.0	280	1
cualquiera	17006.0	281	1
vaya	16975.0	282	1
amor	16595.0	283	1
grande	16472.0	284	1
entre	16449.0	285	1
ganar	16363.0	286	1
pasado	16162.0	287	1
van	16148.0	288	1
cambiar	15949.0	289	1
significar	15892.0	290	1
cabeza	15868.0	291	1
pregunta	15796.0	292	1
diablo	15648.0	293	1
puerta	15593.0	294	1
bajo	15508.0	295	1
llama	15009.0	296	1
adiós	14958.0	297	1
historia	14940.0	298	1
ocurrir	14914.0	299	1
preocupar	14860.0	300	1
vi	14845.0	301	1
oh	14824.0	302	1
amar	14815.0	303	1
todavía	14727.0	304	1
arma	14695.0	305	1
comer	14589.0	306	1
esposa	14484.0	307	1
feliz	14462.0	308	1
minutos	14397.0	309	1
llamado	14379.0	310	1
nueva	14337.0	311	1
barata	14280.0	312	1
caso	14166.0	313	1
cuidar	14161.0	314	1
pues	14130.0	315	1
rápido	14011.0	316	1
importante	14005.0	317	1
conseguir	13997.0	318	1
mientras	13980.0	319	1
quizás	13973.0	320	1
casi	13938.0	321	1
medio	13929.0	322	1
mes	13924.0	323	1
clase	13871.0	324	1
primera	13630.0	325	1
traer	13484.0	326	1
buenas	13456.0	327	1
ayuda	13401.0	328	1
toma	13380.0	329	1
camino	13257.0	330	1
hija	13243.0	331	1
realidad	13178.0	332	1
regresar	13171.0	333	1
cualquier	13119.0	334	1
horas	13050.0	335	1
suerte	12973.0	336	1
siquiera	12941.0	337	1
ojo	12795.0	338	1
dormir	12750.0	339	1
pagar	12748.0	340	1
niños	12706.0	341	1
equipo	12679.0	342	1
palabra	12485.0	343	1
fiesta	12471.0	344	1
contra	12471.0	345	1
allá	12446.0	346	1
yes	12419.0	347	1
muchacho	12391.0	348	1
supuesto	12276.0	349	1
espero	12259.0	350	1
difícil	12227.0	351	1
funcionar	12007.0	352	1
ah	11999.0	353	1
adelantar	11942.0	354	1
juego	11890.0	355	1
hacia	11887.0	356	1
número	11838.0	357	1
vivo	11816.0	358	1
habla	11774.0	359	1
dicho	11740.0	360	1
ciudad	11550.0	361	1
punto	11510.0	362	1
dejarse	11503.0	363	1
cinco	11486.0	364	1
propio	11471.0	365	1
dentro	11466.0	366	1
pronto	11426.0	367	1
suficiente	11417.0	368	1
fin	11414.0	369	1
ud	11387.0	370	1
manera	11370.0	371	1
leer	11358.0	372	1
haya	11358.0	373	1
cuándo	11293.0	374	1
corazón	11279.0	375	1
adelante	11217.0	376	1
durante	11161.0	377	1
comprar	11119.0	378	1
muerte	11105.0	379	1
caro	11103.0	380	1
cuidado	11037.0	381	1
agua	11009.0	382	1
abrir	11004.0	383	1
cielo	10965.0	384	1
bebé	10908.0	385	1
tocar	10895.0	386	1
justo	10885.0	387	1
lista	10876.0	388	1
cara	10848.0	389	1
alto	10796.0	390	1
cuerpo	10786.0	391	1
prueba	10771.0	392	1
disculpar	10754.0	393	1
probar	10749.0	394	1
miedo	10735.0	395	1
manos	10704.0	396	1
teléfono	10700.0	397	1
cerca	10664.0	398	1
demonio	10635.0	399	1
agente	10539.0	400	1
igual	10427.0	401	1
escribir	10388.0	402	1
caer	10379.0	403	1
cuatro	10355.0	404	1
extraño	10347.0	405	1
escuela	10335.0	406	1
saben	10309.0	407	1
aunque	10272.0	408	1
señora	10172.0	409	1
derecho	10157.0	410	1
recibir	10157.0	411	1
ojos	10098.0	412	1
otros	10085.0	413	1
hermana	10066.0	414	1
tuyo	10022.0	415	1
oportunidad	10004.0	416	1
querido	10001.0	417	1
amo	9965.0	418	1
armar	9949.0	419	1
trata	9947.0	420	1
dólar	9931.0	421	1
atrás	9900.0	422	1
vengar	9897.0	423	1
arriba	9803.0	424	1
luz	9799.0	425	1
ay	9798.0	426	1
negro	9787.0	427	1
plan	9774.0	428	1
buenos	9652.0	429	1
jefe	9646.0	430	1
cuarto	9641.0	431	1
meses	9588.0	432	1
sangre	9588.0	433	1
eh	9581.0	434	1
mujeres	9537.0	435	1
bastante	9487.0	436	1
última	9483.0	437	1
culpar	9456.0	438	1
perro	9441.0	439	1
correr	9435.0	440	1
fuerte	9420.0	441	1
libro	9395.0	442	1
lamento	9395.0	443	1
